cb_code,treatcond_keywords
MR020,Pelvis MRI | Pelvis Scan | Scan Pelvis | Pelvic MRI | Pelvic Scan | Scan Pelvic
MR021,Wrist MRI | Wrist Scan | MRI Wrist
MR022,blank condition
MR023,blank condition
MR024,blank condition
MR025,blank condition
MR026,blank condition
MR027,blank condition
MR028,blank condition
MR029,blank condition
MR030,blank condition
MR031,Abdomen MRI | Abdomen Scan | MRI Abdomen | Abdominal MRI | Abdominal Scan
MS001,MS
NC001,NCS | EMG | Muscle Electrical Activity | Myogram | Neuromuscular Disease | Muscle Wave Recording | Electromyogram
OS001,Fever Blister | Oral Herpes | Herpes
OV001,Air Sickness Prevention | Anemia Injection | Anemia Shot | B12 Injection | B12 Shot | Bee Sting | Check Wound | Cleaning Ear | Ear Plugged | Ear Wax Removal | EpiPen Refill | Medication Renewal | Motion Sickness Prevention | Plugged Ear | Refill EpiPen | Removal of Ear Wax | Remove Staples | Remove Stitches | Remove Sutures | Renew Medication | Sea Sickness Prevention | Staple Removal | Suture Removal | Stitch Removal | Vitamin B12 Injection | Vitamin B12 Shot | Wound Check | Doctor Visit - New Patient - Minimal
OV002,Swimmers Ear | Eye Bumps | Bumps in Eye | Canker Sore | Cold Sore | Mouth Sore | Oral Sore | Mouth Pain | Eczema | Dry Skin | Irritated Skin | Flaky Skin | Impetigo | Skin Infection | Skin Problems | Skin Sores | Skin Breakout | Head Lice | Lice | Itchy Scalp | Poison Ivy | Poison Oak | Ringworm | Scabies | Mites | Sunburn | Burn From Sun | Peeling Skin | Swimmers Itch | Parasites | Wart | Insect Bite | Insect Sting | Bug Bite | Bug Sting | Tick | Deer Tick | Jellyfish Sting | Fish Sting | Corneal Abrasion | Corneal Injury | Eye Abrasion | Eye Injury | Eye Pain | Something in Eye | Blisters | Ankle Sprain | Ankle Strain | Ankle Injury | Injury Ankle | Minor Infection | Infection Minor | Vaginal Discharge | Discharge Vagina | Vaginal Itching | Itching Vagina | Vaginal Drainage | Drainage Vagina | Hives | Styes | Achy | Aura | Blurred Vision | Burping | Eye Discomfort | Eye Drainage | Eye Goop | Eye Irritation | Eye Redness | Eye Sore | Flashing Lights | Goopy Eye | Light Sensitivity | Red Eye | Sensitivity to Light | Sensitivity to Sound | Sound Sensitivity | Swollen Adenoids | Swollen Eye | Systolic | Throwing Up | Vomiting | Doctor Visit - New Patient - Low
OV003,Abrasion | Asthma Check-up | Asthma Monitoring | Blood in Stool | Bloody Stool | Bones Brittle | Bones Weak | Brittle Bones | Burn | Check Asthma | Chills | Cut | Fever | High Temperature | Insomnia |  Low Grade Fever | Monitor Asthma | Narcolepsy | Osteoporosis | Painful Rash | Skin Injury | Temperature | Unable to Fall Asleep | Weak Bones | Genital Warts | Lupus | Doctor Visit - New Patient - Moderate
OV004,Arm Pain | Arthritis | Cancer | Chronic Obstructive Pulmonary Disease | COPD | Diarrhea | Difficulty Breathing | Disease Lung | Fatigue | Feet Swelling | Fibromyalgia | Food Poisoning | General Body Pain | Hip Pain | Joint Pain | Kissing Disease | Lung Disease | Lyme Disease | Lyme Tick Disease | Mononucleosis | Muscle Pain | Pain in Body | Pain in Joint | Pain in Muscles | RA - Rheumatoid Arthritis | Rheumatoid Arthritis | Runny Stool | Shortness of Breath | Sleepy | Swelling in Feet | Swollen Fee | Swollen Glands | The Runs - Diarrhea | Thigh Pain | Tick Infection | Tired | Tumor | Unable to Breathe | Weak | Doctor Visit - New Patient - Moderate to High
OV005,Chest Heaviness | Dizziness | Chest Pain | Fainting | Lightheaded | Pain in Chest | Weight on Chest | Vertigo | Weakness | Spinning - Dizziness | Doctor Visit - New Patient - High
OV006,Air Sickness Prevention | Anemia Injection | Anemia Shot | B12 Injection | B12 Shot | Bee Sting | Check Wound | Cleaning Ear | Ear Plugged | Ear Wax Removal | EpiPen Refill | Medication Renewal | Motion Sickness Prevention | Plugged Ear | Refill EpiPen | Removal of Ear Wax | Remove Staples | Remove Stitches | Remove Sutures | Renew Medication | Sea Sickness Prevention | Staple Removal | Suture Removal | Stitch Removal | Vitamin B12 Injection | Vitamin B12 Shot | Wound Check | Doctor Visit - Established Patient - Minimal
OV007,Swimmers Ear | Eye Bumps | Bumps in Eye | Canker Sore | Cold Sore | Mouth Sore | Oral Sore | Mouth Pain | Eczema | Dry Skin | Irritated Skin | Flaky Skin | Impetigo | Skin Infection | Skin Problems | Skin Sores | Skin Breakout | Head Lice | Lice | Itchy Scalp | Poison Ivy | Poison Oak | Ringworm | Scabies | Mites | Sunburn | Burn From Sun | Peeling Skin | Swimmers Itch | Parasites | Wart | Insect Bite | Insect Sting | Bug Bite | Bug Sting | Tick | Deer Tick | Jellyfish Sting | Fish Sting | Corneal Abrasion | Corneal Injury | Eye Abrasion | Eye Injury | Eye Pain | Something in Eye | Blisters | Ankle Sprain | Ankle Strain | Ankle Injury | Injury Ankle | Minor Infection | Infection Minor | Vaginal Discharge | Discharge Vagina | Vaginal Itching | Itching Vagina | Vaginal Drainage | Drainage Vagina | Hives | Styes | Achy | Aura | Blurred Vision | Burping | Eye Discomfort | Eye Drainage | Eye Goop | Eye Irritation | Eye Redness | Eye Sore | Flashing Lights | Goopy Eye | Light Sensitivity | Red Eye | Sensitivity to Light | Sensitivity to Sound | Sound Sensitivity | Swollen Adenoids | Swollen Eye | Systolic | Throwing Up | Vomiting | Doctor Visit - Established Patient - Low
OV008,Abrasion | Asthma Check-up | Asthma Monitoring | Blood in Stool | Bloody Stool | Bones Brittle | Bones Weak | Brittle Bones | Burn | Check Asthma | Chills | Cut | Fever | High Temperature | Insomnia |  Low Grade Fever | Monitor Asthma | Narcolepsy | Osteoporosis | Painful Rash | Skin Injury | Temperature | Unable to Fall Asleep | Weak Bones  | Genital Warts | Lupus | Doctor Visit - Established Patient - Moderate
OV009,Arm Pain | Arthritis | Cancer | Chronic Obstructive Pulmonary Disease | COPD | Diarrhea | Difficulty Breathing | Disease Lung | Fatigue | Feet Swelling | Fibromyalgia | Food Poisoning | General Body Pain | Hip Pain | Joint Pain | Kissing Disease | Lung Disease | Lyme Disease | Lyme Tick Disease | Mononucleosis | Muscle Pain | Pain in Body | Pain in Joint | Pain in Muscles | RA - Rheumatoid Arthritis | Rheumatoid Arthritis | Runny Stool | Shortness of Breath | Sleepy | Swelling in Feet | Swollen Fee | Swollen Glands | The Runs - Diarrhea | Thigh Pain | Tick Infection | Tired | Tumor | Unable to Breathe | Weak | Doctor Visit - Established Patient - Moderate to High
OV010,Chest Heaviness | Dizziness | Chest Pain | Fainting | Lightheaded | Pain in Chest | Weight on Chest | Vertigo | Weakness | Spinning - Dizziness | Doctor Visit - Established Patient - High
OV011,Consultation | Specialist Consultation | Specialist Visit - Minimal
OV012,Consultation | Specialist Consultation | Specialist Visit - Low
OV013,Consultation | Specialist Consultation | Specialist Visit - Moderate
OV014,Consultation | Specialist Consultation | Specialist Visit - Moderate to High
OV015,Consultation | Specialist Consultation | Specialist Visit - High
OV016,Annual Physical | Blood Sugar Test | Diabetes Screening | HPV Immunization | HPV Shot | HPV Vaccine | Human Papilloma Immunization | Human Papilloma Vaccine | Human Papilloma Shot | Immunization HPV | Immunization Human Papilloma Virus | Vaccine HPV | Vaccine Human Papilloma Virus | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Preventative Exam | Preventive Exam | Varicella Vaccine | Fasting Blood Sugar | Childrens Annual Exam | Childrens Wellness Visit | Pediatrician Exam | Pediatrician Visit | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Varicella Vaccine | Annual Physical for Established Patient - 12 to 17 Year Old Female
OV017,Annual Physical | Blood Sugar Test | Diabetes Screening | Fasting Blood Sugar | HPV Immunization | HPV Shot | HPV Vaccine | Human Papilloma Immunization | Human Papilloma Vaccine | Human Papilloma Shot | Immunization HPV | Immunization Human Papilloma Virus | Vaccine HPV | Vaccine Human Papilloma Virus | Preventative Exam | Preventive Exam | Varicella Vaccine | Well Women | Well Woman | Womens Physical | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for Established Patient - 18 to 39 Year Old Female
OV018,Annual Physical | Diabetes Screening | Fasting Blood Sugar | Blood Sugar Test | Preventative Exam | Preventive Exam | Womens Physical | Well Woman | Well Women | Annual Physical for Established Patient - 40 to 64 Year Old Female
OV019,Annual Physical | Childrens Annual Exam | Childrens Wellness Visit | Hepatitis A Immunization | Hepatitis A Shot | Hepatitis A Vaccine | Immunization Hepatitis A | Hep A Shot | Vaccine Hepatitis A | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Pediatrician Exam | Pediatrician Visit | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for Established Patient - 5 to 11 Years Old
OV020,Preventive Visit - Established Patient | Routine Office Visit Age 65 and Older | Routine CheckupAge 65 and Older | Annual Physical Age 65 and Older | Yearly Physical Age 65 and Older | Physical | Pap Smear | Annual Physical for Established Patient - 65+ Year Old Female
OV021,Hepatitis B Immunization | Hepatitis B Shot | Hepatitis B Vaccine | Immunization Hepatitis B | Hep B Shot | Vaccine Hepatitis B | Pneumonia Shot | Pneumonia Vaccine | Immunization Pneumonia | Vaccine Pneumonia | Polio Shot | Polio Vaccine | Immunization Polio | Vaccine Polio | Hib Vaccine | Childrens Wellness Visit | Hemophilus Shot | IPV Shot | IPV Vaccine | Pediatrician Exam | Pediatrician Visit | Poliovirus Shot | Poliovirus Vaccine | Preventative Exam | Preventive Exam | Annual Physical for Established Patient - Less Than 1 Year Old
OV022,HIB Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Varicella Vaccine | Childrens Annual Exam | Childrens Wellness Visit | Hepatitis A Immunization | Hepatitis A Shot | Hepatitis A Vaccine | Immunization Hepatitis A | Hep A Shot | Vaccine Hepatitis A | Hepatitis B Immunization | Hepatitis B Shot | Hepatitis B Vaccine | Immunization Hepatitis B | Hep B Shot | Vaccine Hepatitis B | Pneumonia Shot | Pneumonia Vaccine | Immunization Pneumonia | Vaccine Pneumonia | Polio Shot | Polio Vaccine | Immunization Polio | Vaccine Polio | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | MMR Shot | Measles Shot | Mumps Shot | Rubella Shot | MMR Vaccine | Measles Vaccine | Mumps Vaccine | Rubella Vaccine | Immunization MMR | Immunization Measles | Immunization Mumps | Vaccine MMR | Vaccine Measles | Vaccine Mumps | Vaccine Rubella | Hemophilus Shot | Immunization Rubella | IPV Shot | IPV Vaccine | Pediatrician Exam | Pediatrician Visit | Pneumoccal Shot | Pneumoccal Vaccine | Poliovirus Shot | Poliovirus Vaccine | Preventative Exam | Preventive Exam | Varicella Vaccine | Annual Physical for Established Patient - 1 to 4 Years Old
OV023,Hepatitis B Immunization | Hepatitis B Shot | Hepatitis B Vaccine | Immunization Hepatitis B | Hep B Shot | Vaccine Hepatitis B | Pneumonia Shot | Pneumonia Vaccine | Immunization Pneumonia | Vaccine Pneumonia | Polio Shot | Polio Vaccine | Immunization Polio | Vaccine Polio | Hib Vaccine | Childrens Wellness Visit | Hemophilus Shot | IPV Shot | IPV Vaccine | Pediatrician Exam | Pediatrician Visit | Poliovirus Shot | Poliovirus Vaccine | Preventative Exam | Preventive Exam | Annual Physical for New Patient - Less Than One Year Old
OV024,Annual Physical | Blood Sugar Test | Diabetes Screening | HPV Immunization | HPV Shot | HPV Vaccine | Human Papilloma Immunization | Human Papilloma Vaccine | Human Papilloma Shot | Immunization HPV | Immunization Human Papilloma Virus | Vaccine HPV | Vaccine Human Papilloma Virus | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Preventative Exam | Preventive Exam | Varicella Vaccine | Fasting Blood Sugar | Childrens Annual Exam | Childrens Wellness Visit | Pediatrician Exam | Pediatrician Visit | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Varicella Vaccine | Annual Physical for New Patient - 12 to 17 Year Old Female
OV025,HIB Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Varicella Vaccine | Childrens Annual Exam | Childrens Wellness Visit | Hepatitis A Immunization | Hepatitis A Shot | Hepatitis A Vaccine | Immunization Hepatitis A | Hep A Shot | Vaccine Hepatitis A | Hepatitis B Immunization | Hepatitis B Shot | Hepatitis B Vaccine | Immunization Hepatitis B | Hep B Shot | Vaccine Hepatitis B | Pneumonia Shot | Pneumonia Vaccine | Immunization Pneumonia | Vaccine Pneumonia | Polio Shot | Polio Vaccine | Immunization Polio | Vaccine Polio | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | MMR Shot | Measles Shot | Mumps Shot | Rubella Shot | MMR Vaccine | Measles Vaccine | Mumps Vaccine | Rubella Vaccine | Immunization MMR | Immunization Measles | Immunization Mumps | Vaccine MMR | Vaccine Measles | Vaccine Mumps | Vaccine Rubella | Hemophilus Shot | Immunization Rubella | IPV Shot | IPV Vaccine | Pediatrician Exam | Pediatrician Visit | Pneumoccal Shot | Pneumoccal Vaccine | Poliovirus Shot | Poliovirus Vaccine | Preventative Exam | Preventive Exam | Varicella Vaccine | Annual Physical for New Patient - 1 to 4 Years Old
OV026,Annual Physical | Blood Sugar Test | Diabetes Screening | Fasting Blood Sugar | HPV Immunization | HPV Shot | HPV Vaccine | Human Papilloma Immunization | Human Papilloma Vaccine | Human Papilloma Shot | Immunization HPV | Immunization Human Papilloma Virus | Vaccine HPV | Vaccine Human Papilloma Virus | Preventative Exam | Preventive Exam | Varicella Vaccine | Well Women | Well Woman | Womens Physical | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for New Patient - 18 to 39 Year Old Female
OV027,Annual Physical | Diabetes Screening | Fasting Blood Sugar | Blood Sugar Test | Preventative Exam | Preventive Exam | Womens Physical | Well Woman | Well Women | Annual Physical for New Patient - 40 to 64 Year Old Female
OV028,Annual Physical | Childrens Annual Exam | Childrens Wellness Visit | Hepatitis A Immunization | Hepatitis A Shot | Hepatitis A Vaccine | Immunization Hepatitis A | Hep A Shot | Vaccine Hepatitis A | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Pediatrician Exam | Pediatrician Visit | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for New Patient - 5 to 11 Years Old
OV029,Preventive Visit - New patient | New Patient Routine Office Visit Age 65 and Older | New Patient Routine Checkup Age 65 and Older | New Patient Annual Physical Age 65 and Older | New Patient Yearly Physical Age 65 and Older | Pap Smear   | Annual Physical for New Patient - 65+ Year Old Female
OV030,Annual Physical | Blood Sugar Test | Chickenpox Shot | Chickenpox Vaccine | Childrens Annual Exam | Childrens Wellness Visit | Diabetes Screening | Fasting Blood Sugar | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Pediatrician Exam | Pediatrician Visit | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for Established Patient - 12 to 17 Year Old Male
OV031,Annual Physical | Blood Sugar Test | Chickenpox Shot | Chickenpox Vaccine | Diabetes Screening | Fasting Blood Sugar | Mens Physical | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for Established Patient - 18 to 39 Year Old Male
OV032,Annual Physical | Blood Sugar Test | Diabetes Screening | Fasting Blood Sugar | Mens Physical | Preventative Exam | Preventive Exam | Annual Physical for Established Patient - 40 to 64 Year Old Male
OV033,Annual Physical | Blood Sugar Test | Chickenpox Shot | Chickenpox Vaccine | Childrens Annual Exam | Childrens Wellness Visit | Diabetes Screening | Fasting Blood Sugar | Meningitis Shot | Meningitis Vaccine | Immunization Meningitis | Vaccine Meningitis | Tetanus Shot | Diphtheria Shot | Pertussis Shot | Whooping Cough Shot | Tetanus Vaccine | Diphtheria Vaccine | Pertussis Vaccine | Whooping Cough Vaccine | Immunization Tetanus | Immunization Diphtheria | Immunization Pertussis | Immunization Whooping Cough | Vaccine Tetanus | Vaccine Diphtheria | Vaccine Pertussis | Vaccine Whooping Cough | Pediatrician Exam | Pediatrician Visit | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for New Patient - 12 to 17 Year Old Male
OV034,Annual Physical | Blood Sugar Test | Chickenpox Shot | Chickenpox Vaccine | Diabetes Screening | Fasting Blood Sugar | Mens Physical | Preventative Exam | Preventive Exam | Varicella Vaccine | Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Annual Physical for New Patient - 18 to 39 Year Old Male
OV035,Annual Physical | Blood Sugar Test | Diabetes Screening | Fasting Blood Sugar | Mens Physical | Preventative Exam | Preventive Exam | Annual Physical for New Patient - 40 to 64 Year Old Male
OV036,Preventive Visit - Established Patient | Routine Office Visit Age 65 and Older | Routine CheckupAge 65 and Older | Annual Physical Age 65 and Older | Yearly Physical Age 65 and Older | Physical |  | Annual Physical for Established Patient - 65+ Year Old Male
OV037,Preventive Visit - New patient | New Patient Routine Office Visit Age 65 and Older | New Patient Routine Checkup Age 65 and Older | New Patient Annual Physical Age 65 and Older | New Patient Yearly Physical Age 65 and Older | Annual Physical for New Patient - 65+ Year Old Male
OV038,Consultation | Immunology | Specialist | Allergy
OV039,Consultation | Cardiologist | Heart Doctor | Specialist
OV040,Consultation | Dermatologist | Skin Doctor | Specialist
OV041,Consultation | ENT | Nose Doctor | Throat Doctor | Otolaryngology | Specialist
OV042,Consultation | Specialist
OV043,Consultation | GI Doctor | Stomach Doctor | Specialist
OV045,Consultation | Specialist
OV046,Consultation | Neurologist | Specialist
OV047,Consultation | Nutrition | Specialist
OV048,Consultation | OBGYN | Gynecology | Gynecologist | Pregnancy Doctor | Specialist
OV049,Consultation | Cancer Doctor | Specialist
OV050,Consultation | Bone Doctor | Specialist
OV051,Consultation | Rehabilitation Medicine | Specialist
OV052,Consultation | Foot Doctor | Podiatry | Specialist
OV053,Consultation | Urologist | Bladder Doctor | Kidney Doctor | Specialist
PE001,Pink Eye | Conjunctivitis | Eye Infection | Eye Irritation | Red Eye | Eye Drainage | Itchy Eyes | Watery Eyes | Swollen Eye | Eye Goop | Eye Pain | Eye Redness | Eye Sore | Eyes Itch | Goopy Eye | Eye Discomfort
PH001,TURP | Transurethral Resection of the Prostate | Prostatectomy | Removal of Prostate | Prostate Removal | BPH | Benign Prostatic Hypertrophy | Benign Prostatic Hyperplasia | Difficulty Urinating | Prostate Enlargement | Large Prostate
PH002,TURP | Transurethral Resection of the Prostate | Prostatectomy | Removal of Prostate | Prostate Removal | BPH | Benign Prostatic Hypertrophy | Benign Prostatic Hyperplasia | Difficulty Urinating | Prostate Enlargement | Large Prostate
PP001,Plaque | Skin Rash | Flaky Skin | Scales | Scaly Skin
PT001,Manual Therapy Techniques | Massage | Physical Therapy | Stretching and Strengthening Activities
PT002,Therapeutic Exercises | Physical Therapy
PT003,Neuromuscular Reeducation | Muscle Retraining | Muscle Re-training | Physical Therapy
PT004,Therapeutic Activities | Physical Therapy
RA001,RA | Arthritis
RA002,Joint Problems | Joint Pain | Arthritis
RD001,Retina | Detached Retina | Torn Retina | Retinal Detachment Repair
RT001,Radiotherapy - Low | Kill Cancer Cells | Shrink Tumors | Radiation | Cancer | Radiation Therapy - Low Intensity
RT002,Radiotherapy - Medium | Kill Cancer Cells | Shrink Tumors | Radiation | Cancer | Radiation Therapy - Medium Intensity
RT003,Radiotherapy - Varied | Kill Cancer Cells | Shrink Tumors | Radiation | Cancer | Radiation Therapy - Varied Intensity
RW001,Fungus | Fungal Infection | Tinea
SA001,Snoring | Sleep Study | OSA | Sleep Disorders | Sleep Study with CPAP | Obstructive Sleep Apnea | CPAP
SC001,Mites | Rash | Burrows
SH001,Varicella | Varicella-Zoster | Shingles Shot | Shingles Vaccine | Rash
SI001,Headache | Facial Pressure | Facial Pain | Nasal Drainage | Nasal Congestion | Post-nasal Drip | Bad Breath | Sinus Infection | Infection in Sinuses | Mucus | Sinus Congestion | Sinus Pain | Stuffy Nose | Pain in Face | Nose Congestion | Nose Drainage | Green Nose Drainage
SI002,Nasal Endoscopy | Biopsy | Nasal Biopsy | Polyp Removal | Nasal Debridement | Sinus Endoscopy | Sinus Debridement | Bad Breath
SI003,Septoplasty | Nose Surgery | Turbinate Excision | Deviated Septum | Nasal Septum
SN001,Congestion | Mucus | Cold | Runny Nose | Allergies | Allergy Symptoms | Nasal Congestion | Nose Drainage | Sinus Congestion | Sinus Pain | Stuffy Nose | Green Nose Drainage | Nose Congestion | Nose Drainage | Post-Nasal Drip
SP001,Shoulder Pain | Shoulder Strain | Shoulder Injury | Hurt Shoulder | Rotator Cuff Injury | Painful Shoulder 
SP002,Torn Labrum | Labrum Tear | Cartilage Tear | SLAP Lesion | Shoulder Pain | Shoulder Strain | Shoulder Injury | Hurt Shoulder | Painful Shoulder | Shoulder Arthroscopy | Arthroscopy Shoulder
SP003,Torn Rotator Cuff | Rotator Cuff Tear | Tendon Tear | Shoulder Pain | Shoulder Strain | Shoulder Injury | Hurt Shoulder | Painful Shoulder | Shoulder Arthroscopy | Arthroscopy Shoulder
SS001,Sleep Apnea Test | Sleep Apnea | Snoring | Sleep Study | Apnea Test | Sleep Disorders
SS002,Sleep Apnea Test With CPAP | Sleep Apnea | Snoring | Sleep Study | Apnea Test | CPAP | Sleep Study With CPAP | Sleep Disorders
SS003,Sleep Apnea Test | Snoring | Sleep Study | Apnea Test | Home Sleep Study | Sleep Disorders
ST001,Sore Throat | Strep Throat | Scratchy Throat | Pharyngitis | Throat Irritation | Difficulty Swallowing | Swollen Throat | Swollen Tonsils | Throat Culture | Throat Infection | Throat Pain
ST002,Sore Throat | Scratchy Throat | Throat Irritation | Hoarseness | Difficulty Speaking | Speaking Difficulty
ST003,Throat Problems | Throat Scope | Voice Problems | Throat Pain | Swallowing Problems | Throat Injury
SZ001,Epilepsy | Fits
TH001,THR | Hip Replacement | Replacing Hip | Repair Hip | Osteoarthritis 
TJ001,TMJ | Jaw | Temporalmandibular Joint Disorder
TK001,TKR | Knee Replacement | Replacing Knee | Repair Knee | Osteoarthritis 
TR001,Remove Tonsils | Tonsillectomy | Throat infection | Swollen Tonsils | Sore Throat | Tonsillitis | Swollen Throat |  Multiple Throat Infections | Removal of Tonsils
TR002,Remove Tonsils | Remove Adenoids | Adenoidectomy | Tonsillectomy | Throat Infection | Swollen Tonsils | Sore Throat | Tonsillitis | Ear Infection | Multiple Throat Infections | Enlarged Adenoids | Swollen Adenoids | Swollen Throat | Infection in Ear | Tonsillectomy and Adenoidectomy
UE001,Reflux | Chest Pain | Acid Reflux | Eating Difficulty | Burning in Chest | Burning in Throat | Digestive Problems | Esophagitis | Gastroesophageal Reflux Disease | GERD | Nausea | Regurgitation | Sour Stomach | Stomach Disorder | Stomach Upset | Upset Stomach | Scope | Stomach Ache | Stomach Pain
UE002,Reflux | Chest Pain | Acid Reflux | Eating Difficulty | Burning in Chest | Burning in Throat | Digestive Problems | Esophagitis | Gastroesophageal Reflux Disease | GERD | Nausea | Regurgitation | Sour Stomach | Stomach Disorder | Stomach Upset | Upset Stomach | Scope | Stomach Ache | Stomach Pain
