cb_code,cb_step_code,cb_step_name,cb_step_desc,service_category,provider_type,icd9,icd10
CR037,CR037_3,Follow-up Office Visit,Three doctor checkups after your surgery,Office ,P,1950,C76.0 
CR038,CR038_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1950,C76.0 
CR038,CR038_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,1950,C76.0 
CR038,CR038_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,1950,C76.0 
CR038,CR038_4,Follow-up Office Visit,Five visits with a specialist to follow up on your progress after chemotherapy,Office ,P,1950,C76.0 
CR039,CR039_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,1950,C76.0 
CR039,CR039_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,1950,C76.0 
CR040,CR040_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,185,C61
CR040,CR040_2,Prostate Biopsy,"The removal of tissue from the prostate to test for abnormal, or cancerous, cells ",Office ,P,185,C61
CR040,CR040_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,185,C61
CR041,CR041_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,185,C61
CR041,CR041_2,Removal of Prostate,The removal of the prostate through  a few small incisions in the abdomen,Inpatient,F,185,C61
CR041,CR041_3,Follow-up Office Visit,Three doctor checkups after your surgery,Office ,P,185,C61
CR042,CR042_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,185,C61
CR042,CR042_2,Insertion of Central Line,The insertion of a special intravenous catheter for chemotherapy,Outpatient,F,185,C61
CR042,CR042_3,Chemotherapy,The infusion of a medication to kill cancer cells,Outpatient,F,185,C61
CR042,CR042_4,Follow-up Office Visit,Two visits with a specialist to follow up on your progress after chemotherapy,Office ,P,185,C61
CR043,CR043_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary symptoms,Office ,P,185,C61
CR043,CR043_2,Radiation Therapy,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,185,C61
CS001,CS001_1,Colonoscopy - Preventive Screening (Physician Services),An internal examination of the colon (large intestine) done to find colon cancer before it causes symptoms,Outpatient,P,V76.51,Z12.11
CS001,CS001_2,Colonoscopy - Preventive Screening (Facility Services),An internal examination of the colon (large intestine) done to find colon cancer before it causes symptoms,Outpatient,F,V76.51,Z12.11
CS002,CS002_1,Colonoscopy - Diagnostic (Physician Services),An internal examination of the colon (large intestine) done to find the cause of symptoms,Outpatient,P,211.3,K63.5
CS002,CS002_2,Colonoscopy - Diagnostic (Facility Services),An internal examination of the colon (large intestine) done to find the cause of symptoms,Outpatient,F,211.3,K63.5
CS003,CS003_1,Colonoscopy - Polyp Removal (Physician Services),An internal examination of the colon (large intestine) and removal of polyp,Outpatient,P,2113,K63.5
CS003,CS003_2,Colonoscopy - Polyp Removal (Facility Services),An internal examination of the colon (large intestine) and removal of polyp,Outpatient,F,2113,K63.5
CS004,CS004_1,Colonoscopy - Polyp Removal (Physician Services),An internal examination of the large intestine and removal of polyp,Outpatient,P,2113,K63.5
CS004,CS004_2,Colonoscopy - Polyp Removal (Facility Services),An internal examination of the large intestine and removal of polyp,Outpatient,F,2113,K63.5
CT001,CT001_1,CT Scan With Dye - Abdomen,"Special x-ray images of the upper abdomen, made after you receive a dye that helps highlight the organs ",Radiology,F,,
CT002,CT002_1,CT Scan With Dye - Chest,"Special x-ray images of the chest, made after you receive a dye that helps highlight the organs ",Radiology,F,,
CT003,CT003_1,CT Scan With Dye - Pelvis,"Special x-ray images of the lower abdomen, made after you receive a dye that helps highlight the organs ",Radiology,F,,
CT004,CT004_1,CT Scan Without Dye - Head or Brain,Special x-ray images of structure in your head or brain ,Radiology,F,,
CT005,CT005_1,CT Scan With Dye - Abdomen and Pelvis,"Special x-ray images of the entire abdomen (upper and lower), made after you receive a dye that helps highlight the organs ",Radiology,F,,
CT006,CT006_1,CT Scan Without Dye - Maxillofacial - Face,"Special x-ray images of your mouth, jaw, and surrounding area",Radiology,F,,
CT007,CT007_1,CT Scan Without Dye - Abdomen,Special x-ray images of your upper abdomen,Radiology,F,,
CT008,CT008_1,CT Scan Without Dye Followed by With Dye - Abdomen,"Special x-ray images of your upper abdomen, made before and after you receive a dye that helps highlight the organs ",Radiology,F,,
CT009,CT009_1,CT Scan Without Dye - Pelvis,Special x-ray images of your lower abdomen,Radiology,F,,
CT010,CT010_1,CT Scan Angiography Without Dye Followed by With Dye - Chest,Special x-ray procedure that creates detailed images of the blood vessels in your chest ,Radiology,F,,
CT011,CT011_1,CT Scan Angiography Without and With Dye - Soft Tissue of Neck,,Radiology,F,,
CT012,CT012_1,CT Scan Without Dye - Cervical Spine,,Radiology,F,,
CT013,CT013_1,CT Scan With Dye - Lumbar Spine,,Radiology,F,,
CT014,CT014_1,CT Scan Without Dye - Arm,,Radiology,F,,
CT015,CT015_1,CT Scan Without Dye - Leg,,Radiology,F,,
CT016,CT016_1,CT Scan Angiography Without and With Dye - Abdomen and Pelvis,,Radiology,F,,
CT017,CT017_1,CT Scan With Dye - Heart,,Radiology,F,,
CT018,CT018_1,CT Scan Angiography With Dye - Heart,,Radiology,F,,
CT019,CT019_1,CT Scan Guidance,,Radiology,F,,
CT020,CT020_1,CT Scan Without Dye - Heart,,Radiology,F,,
CT021,CT021_1,CT Scan Without Dye - Lumbar Spine,,Radiology,F,,
CT022,CT022_1,CT Scan Angiography Aorta and Abdominal Arteries,,Radiology,F,,
CV001,CV001_1,Heart Stress Test,A test that shows how well your heart functions when you exercise,Outpatient,P,414.01,I25.10
CV004,CV004_1,Heart Stress Test With Heart Ultrasound,A test that combines a cardiovascular stress test and sound waves (ultrasound) to create images of the heart and see how it functions during rest and after exercise,Outpatient,P,414.01,I25.10
CV005,CV005_1,Heart Ultrasound for Birth Defects,A test that uses sound waves (ultrasound) to create images of the heart and evaluate birth defects,Office ,P,,
CV006,CV006_1,Heart Ultrasound With Blood Flow Study,A test that uses sound waves called Doppler ultrasound to create images of blood flow through the heart,Office ,P,414.01,I25.10
CV007,CV007_1,Initial Office Visit with PCP ,A visit with a primary care physician to evaluate your heart and determine the best course of treatment,Office ,P,414.01,I25.10
CV007,CV007_2,Heart Stress Test With Heart Ultrasound,A test that combines a cardiovascular stress test and sound waves (ultrasound) to create images of the heart and see how it functions during rest and after exercise,Outpatient,P,414.01,I25.10
CV007,CV007_3,Follow-up Office Visit,Two doctor checkups after your stress test,Office ,P,414.01,I25.10
CV008,CV008_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your atrial fibrillation,Office ,P,427.31,I48.2
CV008,CV008_2,Coronary Angioplasty with Heart Rhythm Analysis,The inpatient treatment of atrial fibrillation,Inpatient,F,427.31,I48.2
CV008,CV008_3,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,427.31,I48.2
CV009,CV009_1,Placement of Non-Drug-Eluting Stent after Heart Attack,The placement of a stent after a heart attack,Inpatient,F,410.71,I21.4
CV009,CV009_2,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,410.71,I21.4
CV010,CV010_1,Transesophageal Echocardiogram - TEE,The placement of a use of a special ultrasound placed in the throat to evaluate the structures in the heart,Office ,P,,
CV011,CV011_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your atrial fibrillation,Office ,P,427.89,I49.8
CV011,CV011_2,Heart Rhythm Analysis with Destruction of Abnormal Pathway,The evaluation of the hearts rhythm and destruction of any abnormal pathways that are identified,Outpatient,F,427.89,I49.8
CV011,CV011_3,Follow-up Office Visit,A checkup after your procedure,Office ,P,427.89,I49.8
CY001,CY001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,5921,N20.1 
CY001,CY001_2,Cystoscopy,The placement of a special tube into the bladder to diagnose and treat a variety of urinary conditions.,Outpatient,F,5921,N20.1 
CY001,CY001_3,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,5921,N20.1 
DC001,DC001_1,Initial Office Visit with PCP ,A visit with a primary care physician to evaluate your heart and determine the best course of treatment,Office ,P,41401,I25.119
DC001,DC001_2,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,41401,I25.119
DC001,DC001_3,Diagnostic Cardiac Catheterization,The placement of a small flexible tube into the heart to diagnose a variety of heart conditions,Outpatient,F,41401,I25.119
DC001,DC001_4,Follow-up Office Visit,A checkup after your procedure,Office ,P,41401,I25.119
DC002,DC002_1,Office Visit with Specialist for Evaluation,A visit with a primary care physician for a moderate problem,Office ,P,41401,I25.119
DC002,DC002_2,Imaging Studies,Imaging Studies (X-ray and Nuclear Scans),Radiology,F,41401,I25.119
DC002,DC002_3,Coronary Angioplasty with Placement of Drug-Eluting Stent,A special catheter and mesh tube are inserted to open a narrowed or blocked heart artery,Inpatient,F,41401,I25.119
DC002,DC002_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,41401,I25.119
DC003,DC003_1,Office Visit with Specialist for Evaluation,A visit with a primary care physician for a moderate problem,Office ,P,41401,I25.119
DC003,DC003_2,Imaging Studies,Imaging Studies (X-ray and Nuclear Scans),Radiology,F,41401,I25.119
DC003,DC003_3,Coronary Angioplasty,A special catheter is inserted to open a narrowed or blocked heart artery,Inpatient,F,41401,I25.119
DC003,DC003_4,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,41401,I25.119
DC004,DC004_1,Office Visit with Specialist for Evaluation,A visit with a primary care physician for a moderate problem,Office ,P,41401,I25.119
DC004,DC004_2,Imaging Studies,Imaging Studies (X-ray and Nuclear Scans),Radiology,F,41401,I25.119
DC004,DC004_3,Coronary Angioplasty with Non-Drug-Eluting Stent,A special catheter and mesh tube are inserted to open a narrowed or blocked heart artery,Inpatient,F,41401,I25.119
DC004,DC004_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,41401,I25.119
DC005,DC005_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,41401,I25.119
DC005,DC005_2,Imaging Studies,Imaging Studies (X-ray and Nuclear Scans),Radiology,F,41401,I25.119
DC005,DC005_3,Diagnostic Cardiac Catheterization,The placement of a small flexible tube into the heart to diagnose a variety of heart conditions,Outpatient,F,41401,I25.119
DC005,DC005_4,Coronary Artery Bypass Graft,Surgery restore blood flow to the heart muscle,Inpatient,F,41401,I25.119
DC005,DC005_5,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,41401,I25.119
DC006,DC006_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,427.89,I49.8
DC006,DC006_2,Imaging Studies,Imaging Studies (X-ray and Nuclear Scans),Radiology,F,427.89,I49.8
DC006,DC006_3,Insertion of Heart Defibrillator,Surgery to place a defibrillator to correct a heart arrhythmia,Inpatient,F,427.89,I49.8
DC006,DC006_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,427.89,I49.8
DC007,DC007_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,424.1,I35.9
DC007,DC007_2,Chest X-ray,A chest X-ray prior to your surgery,Radiology,F,424.1,I35.9
DC007,DC007_3,Replacement of Heart Valve,Surgery to repair or replace a valve in the heart,Inpatient,F,424.1,I35.9
DC007,DC007_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,424.1,I35.9
DC008,DC008_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,427.31,I48.2
DC008,DC008_2,Chest X-ray,A chest X-ray prior to your surgery,Radiology,F,427.31,I48.2
DC008,DC008_3,Insertion of Heart Pacemaker,Surgery to place a pacemaker to correct a heart arrhythmia,Inpatient,F,427.31,I48.2
DC008,DC008_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,427.31,I48.2
DC009,DC009_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,427.89,I49.8
DC009,DC009_2,Chest X-ray,A chest X-ray prior to your surgery,Radiology,F,427.89,I49.8
DC009,DC009_3,Insertion of Heart Defibrillator,Surgery to place a defibrillator to correct a heart arrhythmia,Outpatient,F,427.89,I49.8
DC009,DC009_4,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,427.89,I49.8
DC010,DC010_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,440.21,I70.219
DC010,DC010_2,Extremity Angiography,Putting a small movable tube into a large artery in your arm or leg to check blood flow and look for abnormalitites in the wall of the arteries,Outpatient,F,440.21,I70.219
DC010,DC010_3,Follow-up Office Visit,A checkup after your test,Office ,P,440.21,I70.219
DM001,DM001_1,Office Visit with Specialist for Evaluation,Two visits with a specialist for a detailed evaluation and treatment of your diabetes,Office ,P,25000,E13.9
EI001,EI001_1,Office Visit,A visit with a primary care physician to evaluate your ears and determine the best course of treatment,Office ,P,381,H65.197 
EI002,EI002_1,Office Visit with Specialist for Evaluation,A visit with a primary care physician for a moderate problem,Office ,P,381.3,H65.499
EI002,EI002_2,Tympanostomy - Tubes in Eardrums,The placement of a small tube in the eardrum so the fluid in the middle ear can drain out,Outpatient,F,381.3,H65.499
EI002,EI002_3,Follow-up Office Visit,A checkup after your procedure,Office ,P,381.3,H65.499
EI003,EI003_1,Office Visit,A visit with a primary care physician to evaluate your ear symptoms and determine the best course of treatment ,Office ,P,380,H60.339
EI004,EI004_1,Office Visit with Specialist for Evaluation,An initial visit with a specialist for a detailed evaluation and treatment of your hearing loss,Office ,P,389.1,H90.5
EI004,EI004_2,Follow-up Office Visit,A follow up visit with a specialist,Office ,P,389.1,H90.5
EK001,EK001_1,Office Visit,A visit with a primary care physician to evaluate your heart and determine the best course of treatment,Office ,P,,
EK001,EK001_2,Electrocardiogram - EKG,A recording of the electrical activity of the heart,Office ,P,,
EK002,EK002_1,Office Visit with Specialist for Evaluation,A visit with a neurologist to evaluate your symptoms and determine the best course of treatment,Office ,P,,
EK002,EK002_2,Electroencephalogram - EEG,A test to measure the brain's electrical activity while awake and asleep,Office ,P,,
EK002,EK002_3,Office Visit,A follow-up office visit after your EEG,Office ,P,,
EK003,EK003_1,Office Visit with Specialist for Evaluation,A visit with a neurologist to evaluate your symptoms and determine the best course of treatment,Office ,P,,
EK003,EK003_2,Electromyogram - EMG,A test to measure the electrical activity of a specific muscle or muscles,Office ,P,,
EK003,EK003_3,Office Visit,A follow-up office visit after your EMG,Office ,P,,
ER004,ER004_1,Emergency Room Visit,An evaluation and management of symptoms in a 24 hour emergency room,Outpatient,F,,
ER011,ER011_1,Urgent Care Visit,This is the evaluation and management of your symptoms in an Urgent Care or Convenience Care Clinic setting,Office ,F,,
FS001,FS001_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a specialist to evaluate your bunion and determine the best course of treatment,Office ,P,727.1,M20.10
FS001,FS001_2,Bunion Correction,Surgery to remove a piece of bone from the base of the large toe ,Outpatient,F,727.1,M20.10
FS001,FS001_3,Office Visit with Specialist for Evaluation and Treatment,Two follow-up visits after your foot surgery,Office ,P,727.1,M20.10
GB001,GB001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,27801,E66.01
GB001,GB001_2,Imaging Studies,X-rays of the chest and upper gastrointestinal tract (Upper UGI),Radiology,F,27801,E66.01
GB001,GB001_3,Office Visit with Dietician,A visit with a specialist for a nutrition evaluation and diet recommendations,Office ,P,27801,E66.01
GB001,GB001_4,Weight Loss Surgery - Gastric Bypass,Surgery where the stomach is made smaller and food bypasses a large portion of the stomach and bowels.,Inpatient,F,27801,E66.01
GB001,GB001_5,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,27801,E66.01
GB002,GB002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,27801,E66.01
GB002,GB002_2,Imaging Studies,X-rays of the chest and upper gastrointestinal tract (Upper UGI),Radiology,F,27801,E66.01
GB002,GB002_3,Office Visit with Dietician,A visit with a specialist for a nutrition evaluation and diet recommendations,Office ,P,27801,E66.01
GB002,GB002_4,Weight Loss Surgery - Laparoscopic Band,The placement of an adjustable band around the top part of the stomach,Inpatient,F,27801,E66.01
GB002,GB002_5,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,27801,E66.01
GB002,GB002_6,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,27801,E66.01
GB003,GB003_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,27801,E66.01
GB003,GB003_2,Imaging Studies,X-rays of the chest and upper gastrointestinal tract (Upper UGI),Radiology,F,27801,E66.01
GB003,GB003_3,Office Visit with Dietician,A visit with a specialist for a nutrition evaluation and diet recommendations,Office ,P,27801,E66.01
GB003,GB003_4,Weight Loss Surgery - Gastric Sleeve,Surgery where a large section of the stomach is removed and a sleeve is made for food to pass through,Inpatient,F,27801,E66.01
GB003,GB003_5,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,27801,E66.01
GB003,GB003_6,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,27801,E66.01
GL001,GL001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,57400,K80.00
GL001,GL001_2,Imaging Studies,Imaging Studies (Ultrasound) ,Radiology,F,57400,K80.00
GL001,GL001_3,Gallbladder Removal (Laparoscopic),Surgery to remove the gallbladder through a few small incisions in the abdomen,Inpatient,F,57400,K80.00
GL001,GL001_4,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,57400,K80.00
GL002,GL002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,57400,K80.00
GL002,GL002_2,Imaging Studies,Imaging Studies (Ultrasound) ,Radiology,F,57400,K80.00
GL002,GL002_3,Gallbladder Removal (Open),Surgery to remove the gallbladder through an incision in the abdomen,Inpatient,F,57400,K80.00
GL002,GL002_4,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,57400,K80.00
GT001,GT001_1,Office Visit,A visit with a primary care physician to evaluate your gout and determine the best course of treatment,Office ,P,274.9,M10.9
HB001,HB001_1,Office Visit,A visit with a primary care physician to evaluate your heartburn and determine the best course of treatment,Office ,P,787.1,R12
HC001,HC001_1,Office Visit,A visit with a primary care physician to evaluate your cholesterol and determine the best course of treatment,Office ,P,272,E78.0
HI001,HI001_1,Office Visit,A visit with a primary care physician to evaluate your hives and determine the best course of treatment,Office ,P,708.9,L50.9
HL001,HL001_1,Office Visit,A visit with a primary care physician to evaluate head lice and determine the best course of treatment,Office ,P,132,B85.0
HP001,HP001_1,Office Visit,A visit with a primary care physician to evaluate your blood pressure and determine the best course of treatment,Office ,P,401.9,I10
HR001,HR001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,550.9,K40.90
HR001,HR001_2,Laparoscopic Repair of Groin Hernia (Inguinal Hernia),Surgery to repair a bulge near the groin (inguinal hernia) through a laparoscope,Outpatient,F,550.9,K40.90
HR001,HR001_3,Office Visit,A doctor checkup after your procedure,Office ,P,550.9,K40.90
HR002,HR002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,550.9,K40.90
HR002,HR002_2,Open Repair of Groin Hernia (Inguinal Hernia),Surgery to repair a bulge near the groin (inguinal hernia) through an incision,Outpatient,F,550.9,K40.90
HR002,HR002_3,Office Visit,A doctor checkup after your procedure,Office ,P,550.9,K40.90
HR003,HR003_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,555.9,K50.90 
HR003,HR003_2,CT Scan With Dye - Abdomen,"Special x-ray images of the upper abdomen, made after you receive a dye that helps highlight the organs ",Radiology,F,555.9,K50.90 
HR003,HR003_3,Partial Removal of Small Intestines,Surgery that uses small medical instruments and a camera to remove a piece of the small intestines,Inpatient,F,555.9,K50.90 
HR003,HR003_4,Follow-up Office Visit,Two doctor checkups after your surgery,Office ,P,555.9,K50.90 
HR004,HR004_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,553.3,K44.9
HR004,HR004_2,Repair of Esophageal Hernia,Surgery that uses small medical instruments and a camera to repair a bulging in the esophagus,Outpatient,F,553.3,K44.9
HR004,HR004_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,553.3,K44.9
HR005,HR005_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,455.6,K64.9
HR005,HR005_2,Surgical Removal of Hemorrhoids,Surgery to removal hemorrhoids,Outpatient,F,455.6,K64.9
HR005,HR005_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,455.6,K64.9
HR006,HR006_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,553.2,K43.9
HR006,HR006_2,Repair of Abdominal Hernia,Surgery to repair a bulge in the abdomen (abdominal hernia) through an incision,Inpatient,F,553.2,K43.9
HR006,HR006_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,553.2,K43.9
HR007,HR007_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,553.2,K43.9
HR007,HR007_2,Repair of Abdominal Hernia,Surgery to repair a bulge in the abdomen (abdominal hernia) through an incision,Outpatient,F,553.2,K43.9
HR007,HR007_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,553.2,K43.9
HR008,HR008_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,562,K57.10
HR008,HR008_2,CT Scan With Dye - Abdomen,"Special x-ray images of the upper abdomen, made after you receive a dye that helps highlight the organs ",Radiology,F,562,K57.10
HR008,HR008_3,Small Bowel Resection - Open,Surgery to remove a piece of the small intestines through an incision in the abdomen,Inpatient,F,562,K57.10
HR008,HR008_4,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,562,K57.10
HR009,HR009_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,556.9,K51.90
HR009,HR009_2,Colonoscopy - Biopsy,"An internal examination of the colon (large intestine) and removal of tissue to test for abnormal, or cancerous, cells",Outpatient,F,556.9,K51.90
HR009,HR009_3,Follow-up Office Visit,A doctor checkup after your procedure,Clinic,P,556.9,K51.90
HR010,HR010_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,562.1,K57.90
HR010,HR010_2,Diagnostic Colonoscopy,An internal examination of the colon (large intestine) done to find the cause of symptoms,Outpatient,F,562.1,K57.90
HR010,HR010_3,Follow-up Office Visit,A doctor checkup after your procedure,Clinic,P,562.1,K57.90
HR011,HR011_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,558.9,K52.9
HR011,HR011_2,Partial Removal of Large Intestines,Surgery to remove a piece of the large intestines through an incision in the abdomen,Inpatient,F,558.9,K52.9
HR011,HR011_3,Follow-up Office Visit,A doctor checkup after your surgery,Clinic,P,558.9,K52.9
HT001,HT001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,6210,N84.0 
HT001,HT001_2,Uterus Exam with Biopsy,Surgery to examine the inside lining of the uterus,Inpatient,F,6210,N84.0 
HT001,HT001_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,6210,N84.0 
HT002,HT002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,626.2,N92.0
HT002,HT002_2,Uterus Exam,Surgery to examine the inside lining of the uterus,Inpatient,F,626.2,N92.0
HT002,HT002_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,626.2,N92.0
HT003,HT003_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,640,O20.0
HT003,HT003_2,Surgical Treatment of Incomplete Miscarriage,Surgery to clean the uterus and remove products of conception after a miscarriage,Outpatient,F,640,O20.0
HT003,HT003_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,640,O20.0
HV001,HV001_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a specialist to evaluate your symptoms and determine the best course of treatment,Office ,P,,
HY001,HY001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,2189,D25.9
HY001,HY001_2,Abdominal Hysterectomy,Surgery to remove the uterus through an incision made in the abdomen,Inpatient,F,2189,D25.9
HY001,HY001_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,2189,D25.9
HY002,HY002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,6262,N92.0
HY002,HY002_2,Vaginal Hysterectomy,Surgery to remove the uterus through the vagina,Inpatient,F,6262,N92.0
HY002,HY002_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,6262,N92.0
HY003,HY003_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,6202,N83.20
HY003,HY003_2,Removal of Ovaries and Fallopian Tubes,Surgery to remove the ovaries and fallopian tubes through an incision in the abdomen,Inpatient,F,6202,N83.20
HY003,HY003_3,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,6202,N83.20
HY004,HY004_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your menstrual symptoms,Office ,P,6179,N80.9
HY004,HY004_2,Abdominal Hysterectomy,Surgery to remove the uterus through an incision made in the abdomen,Inpatient,F,6179,N80.9
HY004,HY004_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,6179,N80.9
HY005,HY005_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your menstrual symptoms,Office ,P,2189,D25.9 
HY005,HY005_2,Myomectomy - Fibroid Removal,Surgery to remove uterine fibroids through an incision made in the abdomen,Inpatient,F,2189,D25.9 
HY005,HY005_3,Follow-up Office Visit,A doctor checkup after your surgery,Office ,P,2189,D25.9 
HY006,HY006_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,6179,N80.9
HY006,HY006_2,Laparoscopy with Uterus Exam,Surgery to examine the inside lining of the uterus and remove any abnormal lesions or tissue,Outpatient,F,6179,N80.9
HY006,HY006_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,6179,N80.9
HY007,HY007_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,6262,N92.0
HY007,HY007_2,Laparoscopy with Uterus Exam and Ablation,Surgery to examine the inside lining of the uterus and treat any abnormal bleeding,Outpatient,F,6262,N92.0
HY007,HY007_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,6262,N92.0
